Nuts,Lat,Long,Level
EL111,41.11184378,26.11045597,3
EL112,41.16937081,24.82273144,3
EL113,41.10678436,25.50044908,3
EL114,41.28698877,24.18505319,3
EL115,40.82641099,24.33590443,3
EL121,40.49526846,22.26627644,3
EL122,40.70588099,23.12331566,3
EL123,41.06532058,22.76215263,3
EL124,40.93435255,22.19303047,3
EL125,40.28305189,22.43148269,3
EL126,41.12495039,23.4922375,3
EL127,40.41846085,23.56545173,3
EL131,39.85970484,21.41452468,3
EL132,40.49378018,21.15586708,3
EL133,40.38085082,21.64875921,3
EL134,40.79372321,21.3997262,3
EL141,39.30864526,21.81505024,3
EL142,39.63404603,22.36276432,3
EL143,39.05261982,22.90130227,3
EL144,39.64779395,21.67359195,3
EL211,39.06318712,21.09151598,3
EL212,39.56286883,20.35752382,3
EL213,39.29998343,20.70112028,3
EL214,39.2224028,20.7165796,3
EL221,37.75604842,20.8014653,3
EL222,39.55568506,19.87487816,3
EL223,38.09065791,20.56611069,3
EL224,38.71717501,20.65015328,3
EL231,38.41914518,21.32344736,3
EL232,38.118509,21.86853839,3
EL233,37.73453983,21.56214814,3
EL241,38.18285512,23.03734949,3
EL242,38.55646127,23.73771237,3
EL243,38.95073009,21.67063326,3
EL244,38.70024134,22.59661496,3
EL245,38.54505823,22.26661362,3
EL251,37.5321878,22.9057405,3
EL252,37.45381398,22.39731676,3
EL253,37.89718961,22.71124052,3
EL254,36.93178342,22.72694637,3
EL255,36.79523677,21.95133685,3
EL300,37.94914118,23.6050622,3
EL411,39.07890374,26.21666739,3
EL412,37.72340889,26.81808398,3
EL413,38.24606467,25.95140975,3
EL421,36.16363093,27.93741936,3
EL431,35.13744513,25.15526872,3
EL432,35.08223183,25.83804771,3
EL433,35.10220329,24.56743911,3
EL434,35.37142122,23.93613845,3
AT111,47.40025531,16.48538135,3
AT112,47.87421607,16.71025943,3
AT113,47.19062285,16.26615048,3
AT121,48.04959079,14.97988446,3
AT122,47.85566574,15.78085239,3
AT123,48.21008619,15.65094597,3
AT124,48.67006192,15.31972652,3
AT125,48.66273509,16.34204185,3
AT126,48.41665497,16.36242751,3
AT127,48.04818206,16.48198097,3
AT130,48.22267254,16.38623622,3
AT211,46.57730852,13.96842517,3
AT212,46.60747049,13.44220369,3
AT213,46.45979626,14.47705359,3
AT221,46.91131581,15.36916079,3
AT222,47.51636035,14.3433916,3
AT223,47.56072892,15.23526181,3
AT224,47.13098321,15.78393323,3
AT225,46.82462276,15.25771217,3
AT226,47.2256378,14.42922431,3
AT311,48.20796899,13.37637377,3
AT312,48.27069912,14.14466603,3
AT313,48.49282401,14.3706521,3
AT314,47.87363374,14.35693213,3
